,,,t,Rf,VE,VT,VO2,VCO2,VE/VO2,VE/VCO2,VO2/Kg,R,HR,Power,RPM,Load3,Phase
,,,hh:mm:ss,b/min,l/min,l,ml/min,ml/min,---,---,ml/min/Kg,---,bpm,Watt,1/min,Watt,---

,,,00:08:13,22.64150943,52.16566334,2.303983464,2564.573673,2104.683387,20.34087143,24.7855158,32.38098072,0.820675736,113,190,93,0,3
,,,00:08:16,22.1402214,50.83005521,2.29582416,2478.341916,2028.83014,20.50970242,25.05387425,31.29219591,0.818623987,114,190,93,0,3
,,,00:08:19,20.97902098,45.74630751,2.180573991,2354.609072,1911.420552,19.42840876,23.93314619,29.72991252,0.811778301,115,190,95,0,3
,,,00:08:21,21.20141343,47.0313238,2.218310772,2490.23631,2004.535186,18.88628947,23.46245859,31.44237765,0.804957818,115,190,94,0,3
,,,00:08:24,20.76124567,46.9018815,2.259107292,2391.109201,1922.143828,19.61511481,24.40081788,30.19077274,0.803871202,115,190,94,0,3
,,,00:08:27,19.54397394,44.96919333,2.300923725,2361.114116,1895.882543,19.04575176,23.71939839,29.81204692,0.802960996,117,190,95,0,3
,,,00:08:30,21.27659574,52.49296902,2.467169544,2702.570665,2166.518468,19.42334745,24.22918143,34.12336698,0.801650997,117,190,94,0,3
,,,00:08:33,19.8019802,47.68345723,2.40801459,2492.774582,2010.370577,19.12866794,23.71874011,31.47442654,0.80647909,118,190,95,0,3
,,,00:08:36,20.83333333,49.529525,2.3774172,2612.173428,2089.069009,18.96104006,23.70889846,32.98198773,0.79974361,118,190,95,0,3
,,,00:08:39,20.76124567,53.42367812,2.573240496,2735.537029,2208.138109,19.52950282,24.19399307,34.53960895,0.807204613,120,190,95,0,3
,,,00:08:42,19.54397394,50.35114466,2.576300235,2579.034531,2097.697611,19.52325339,24.00305192,32.56356731,0.813365461,120,190,96,0,3
,,,00:08:45,19.2926045,51.19897665,2.653813623,2659.211901,2148.556837,19.25343995,23.82947278,33.57590784,0.807967517,121,190,96,0,3
,,,00:08:48,18.69158879,53.01641214,2.83637805,2808.20093,2250.507008,18.87913773,23.55754145,35.45708245,0.801405264,122,190,96,0,3
,,,00:08:52,19.35483871,52.33140696,2.70378936,2691.679267,2202.223609,19.44191776,23.76298517,33.98584934,0.81815974,130,190,96,0,3
,,,00:08:55,18.98734177,48.7234387,2.566101105,2534.762542,2081.329709,19.22209197,23.40976468,32.00457755,0.821114276,127,190,95,0,3
,,,00:08:58,19.04761905,52.49152234,2.755804923,2772.511065,2259.046797,18.93284503,23.23613765,35.00645284,0.814801725,126,190,95,0,3
,,,00:09:01,16.52892562,42.19573944,2.552842236,2199.44841,1830.695217,19.1846916,23.04902479,27.77081326,0.832342877,125,228,95,0,3
,,,00:09:06,14.49275362,38.47584835,2.654833536,2032.109683,1665.373767,18.93394272,23.10343126,25.65795055,0.819529468,123,228,90,0,3
,,,00:09:08,24.19354839,61.19477993,2.529384237,3403.156863,2686.084095,17.98176881,22.78215342,42.96915232,0.789291885,121,228,95,0,3
,,,00:09:11,22.90076336,59.7233024,2.607917538,3077.807515,2476.866131,19.4044956,24.11244663,38.861206,0.804750173,121,228,95,0,3
,,,00:09:13,21.97802198,62.36039478,2.837397963,3108.239872,2572.58971,20.06292865,24.24031883,39.24545293,0.827667688,122,228,95,0,3
,,,00:09:16,21.89781022,56.63867223,2.586499365,2718.595348,2298.561763,20.83380017,24.64091813,34.32569884,0.845496099,123,228,96,0,3
,,,00:09:19,21.05263158,57.90958648,2.750705358,2839.890037,2381.88061,20.39148901,24.31254792,35.85719744,0.83872283,123,228,95,0,3
,,,00:09:22,20.13422819,55.50654032,2.756824836,2775.9806,2323.759047,19.99529115,23.88653005,35.0502601,0.837094844,126,228,95,0,3
,,,00:09:25,19.48051948,56.62503987,2.906752047,2910.750376,2440.546754,19.45376022,23.20178451,36.75189869,0.838459654,127,228,96,0,3
,,,00:09:28,19.8019802,56.91316496,2.874114831,2900.943357,2436.092851,19.61884738,23.36247772,36.62807269,0.839758848,128,228,96,0,3
,,,00:09:31,18.75,58.42189146,3.115834211,3015.018901,2533.41128,19.37695696,23.06056341,38.06842046,0.840263814,128,228,96,0,3
,,,00:09:35,18.29268293,51.9595921,2.840457702,2651.562905,2238.726443,19.5958361,23.20944225,33.47932961,0.844304481,130,228,96,0,3
,,,00:09:38,19.2926045,56.23623184,2.914911351,2867.616696,2394.118986,19.61079105,23.48932203,36.20728151,0.834881101,130,228,95,0,3
,,,00:09:41,18.12688822,53.67022542,2.960807436,2730.414255,2282.622712,19.65644053,23.5125258,34.47492746,0.83599868,130,228,96,0,3
,,,00:09:44,19.16932907,57.91020388,3.020982302,3043.405824,2539.357751,19.0280913,22.80505922,38.42684121,0.834380263,131,228,96,0,3
,,,00:09:47,20.97902098,62.62836393,2.985285348,3100.850036,2622.03615,20.19715988,23.88539301,39.15214692,0.845586249,132,228,97,0,3
,,,00:09:50,22.1402214,64.71743147,2.923070655,3094.307807,2648.863885,20.91499473,24.43214686,39.06954302,0.856044082,132,228,95,0,3
,,,00:09:53,20.40816327,61.75677281,3.026081867,3030.82295,2584.670052,20.376239,23.89348411,38.26796654,0.8527948,132,228,95,0,3
,,,00:09:55,21.97802198,63.45876263,2.8873737,2986.30656,2568.599133,21.24991569,24.70559217,37.70589091,0.860125738,132,228,95,0,3
,,,00:09:58,21.89781022,63.20482744,2.886353787,3065.300799,2651.347878,20.61945355,23.8387531,38.70329291,0.864955204,133,228,96,0,3
,,,00:10:01,23.3463035,67.55236991,2.893493178,3048.834777,2663.460627,22.15678279,25.36263131,38.49538859,0.87359953,132,266,0,0,3
,,,00:10:03,26.54867257,63.92959089,2.40801459,2978.724139,2580.40558,21.46207165,24.77501653,37.61015327,0.866278802,132,266,95,0,3
,,,00:10:05,26.31578947,75.52724154,2.870035179,3264.172736,2867.231577,23.138249,26.34152126,41.21430222,0.878394561,132,266,94,0,3
,,,00:10:08,25.53191489,73.04313094,2.860855962,3178.715177,2841.949872,22.97882222,25.70176612,40.13529264,0.894056156,132,266,96,0,3
,,,00:10:10,22.30483271,62.01374353,2.780282835,2900.822293,2623.059214,21.37798778,23.64176272,36.6265441,0.904246779,133,266,95,0,3
,,,00:10:13,25.97402597,70.28127755,2.705829186,3114.421572,2775.153708,22.56639826,25.32518374,39.3235047,0.89106553,133,266,94,0,3
,,,00:10:15,23.07692308,55.64017683,2.411074329,2523.514146,2233.230595,22.0486883,24.91465814,31.86255234,0.884968527,135,266,92,0,3
,,,00:10:19,17.54385965,51.24615489,2.921030829,2661.892235,2301.599842,19.25177669,22.26544943,33.60975044,0.864648017,136,266,94,0,3
,,,00:10:21,24.29149798,70.8571136,2.916951177,3590.506412,3043.389079,19.73457375,23.28230528,45.33467692,0.847621123,136,266,95,0,3
,,,00:10:24,22.72727273,74.82452637,3.29227916,3727.644561,3152.858776,20.07287045,23.73227971,47.06621921,0.845804562,135,266,95,0,3
,,,00:10:26,22.72727273,75.40402239,3.317776985,3482.713969,3018.370554,21.65093748,24.98169825,43.97366122,0.866671964,136,266,95,0,3
,,,00:10:29,24.19354839,81.35451186,3.362653157,3611.556006,3185.986828,22.52616649,25.53510615,45.60045462,0.882164591,136,266,95,0,3
,,,00:10:31,23.90438247,78.5536179,3.286159682,3358.287047,3045.701442,23.39097784,25.79163434,42.40261422,0.906921118,136,266,95,0,3
,,,00:10:34,24,73.31134635,3.054639431,3072.892725,2840.920057,23.85743757,25.80549431,38.79915057,0.924510001,136,266,95,0,3
,,,00:10:36,24,75.17166766,3.132152819,3213.316163,2959.299683,23.39379752,25.40184359,40.57217377,0.920948806,137,266,94,0,3
,,,00:10:39,23.25581395,77.20504212,3.319816811,3380.697369,3125.446939,22.83701665,24.70208058,42.68557284,0.924497699,137,266,96,0,3
